REGION,TIMESLICE,FUEL,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Cuba,111,RESELEC,65.92615768303904,60.80135240066991,64.56731605277871,63.09296743550348,63.069681880734414,65.58428315400027,67.08810566735833,67.82607482969928,68.57216165282597,69.32645543100703,70.08904644074808,70.86002595159636,71.63948623706389,72.4275205856716,73.22422331211395,74.02968976854723,74.84401635600123,75.6673005359172,76.49964084181225,77.34113689107224,78.191889396874,79.05200018023962,79.92157218222228,80.80070947622664,81.68951728046518,82.58810197055027,83.49657109222635,84.41503337424075,85.34359874135741,86.28237832751235,87.23148448911496,88.1910308184952
Cuba,112,RESELEC,52.16664837092826,48.11144593640801,51.091411833431614,49.92477587895449,49.90635027384642,51.896126790873694,53.08608511733655,53.67003205362726,54.26040240621716,54.857266832685525,55.46069676784505,56.07076443229138,56.68754284104656,57.31110581229808,57.94152797623333,58.57888478397192,59.2232525165956,59.87470829427811,60.533330085515146,61.19919671645585,61.87238788033683,62.55298414702055,63.24106697263779,63.93671870933673,64.64002261513949,65.351062863906,66.06992455540897,66.79669372551842,67.53145735649912,68.27430338742062,69.02532072468222,69.78459925265369
Cuba,113,RESELEC,60.68283790981702,55.96562490667869,59.43206933339484,58.07498041286621,58.05354683330762,60.368153763792655,61.752372426466486,62.43164852315763,63.11839665691236,63.81269902013837,64.51463870935987,65.22429973516289,65.94176703224964,66.6671264696044,67.40046486077,68.1418699742385,68.89143054395512,69.64923627993858,70.41537787901787,71.18994703568711,71.97303645307964,72.76473985406352,73.56515199245824,74.3743686643752,75.19248671968339,76.01960407359987,76.85581971840948,77.70123373531192,78.55594730640034,79.42006272677077,80.29368341676523,81.1769139343496
Cuba,114,RESELEC,69.67752162963181,64.26110205567879,68.24135849786073,66.68311574141623,66.65850518009883,69.31619358126828,70.90558737250679,71.68554883360437,72.47408987077402,73.27130485935251,74.07728921280537,74.89213939414627,75.71595292748187,76.54882840968416,77.39086552219064,78.24216504293477,79.10282885840704,79.97295997584946,80.85266253558378,81.74204182347525,82.64120428353344,83.55025753065232,84.46931036348951,85.3984727774878,86.33785597804024,87.28757239379864,88.24773569013045,89.21846078272179,90.19986385133174,91.1920623536964,92.19517503958704,93.20932196502244
Cuba,115,RESELEC,79.69035801143663,73.4955852225476,78.0478145992009,76.26564841094515,76.23750124961711,79.27710620712132,81.09489991279021,81.9869438118309,82.88880019376104,83.80057699589237,84.72238334284717,85.65432955961855,86.59652718477432,87.54908898380684,88.51212896262865,89.48576238121761,90.470105767411,91.46527693085244,92.4713949770918,93.48858032183986,94.51695470538009,95.55664120713926,96.6077642604178,97.6704496672823,98.74482461362248,99.83101768437228,100.9291588789004,102.0393796265682,103.16181280246046,104.29659274328756,105.44385526346367,106.60373767136171
Cuba,116,RESELEC,71.53593201433021,65.97504791080304,70.06146412636544,68.46166055586315,68.43639359171085,71.1649667719096,72.79675222487674,73.5975164993504,74.40708918084324,75.2255671618325,76.05304840061262,76.88963193301943,77.73541788428261,78.59050748100972,79.45500306330078,80.32900809699713,81.21262718606408,82.10596608511072,83.00913171204691,83.92223216087949,84.84537671464912,85.77867585851027,86.7222412929539,87.6761859471763,88.64062399259531,89.61567085651382,90.60144323593548,91.59805911153067,92.60563776175754,93.62429977713688,94.65416707468538,95.69536291250684
Cuba,117,RESELEC,76.99723902388826,71.01181728621313,75.41020502285043,73.68826676831621,73.66107083442033,76.59795297789822,78.35431472534347,79.21621218732227,80.08759052138281,80.968554017118,81.85920811130626,82.7596594005307,83.6700156539365,84.5903858261298,85.52088007021717,86.4616097509896,87.41268745825047,88.37422702029117,89.34634351751434,90.32915329620704,91.3227739824653,92.3273244962724,93.34292506573144,94.36969724145438,95.40776391111044,96.45724931413262,97.51827905658811,98.59098012621048,99.6754809075988,100.7719111975824,101.88040222075578,103.00108664518405
Cuba,118,RESELEC,88.40066624507764,81.52879296655533,86.57858970280306,84.60162934859498,84.57040564881,87.9422452297873,89.9587272570631,90.94827325689084,91.94870426271662,92.96014000960646,93.98270154971208,95.016511266759,96.06169289069332,97.11837151249097,98.18667359912828,99.26672700871876,100.35866100581464,101.46260627687852,102.57869494592414,103.7070605903294,104.84783825682295,106.00116447764802,107.16717728690216,108.34601623705798,109.5378224156657,110.74273846223798,111.96090858532264,113.19247857976106,114.43759584413844,115.696409398424,116.96906990180662,118.25572967072642
Cuba,121,RESELEC,65.67808084207299,60.572559946200776,64.32435246504713,62.8555517480335,62.83235381564484,65.33749276982392,66.83565647412047,67.57084869533581,68.31412803098449,69.06558343932531,69.82530485715785,70.59338321058664,71.36991042590307,72.15497944058801,72.94868421443444,73.75111974079324,74.56238205794195,75.38256826057926,76.21177651144562,77.05010605307156,77.89765721965531,78.75453144907154,79.62083129501133,80.49666043925637,81.38212370408824,82.27732706483319,83.18237766254637,84.0973838168343,85.02245503881947,85.9577020442465,86.9032367667332,87.85917237116722
Cuba,122,RESELEC,52.17671718692138,48.12073204758103,51.10127311531657,49.93441198549998,49.91598282401952,51.906143392816325,53.09633139612833,53.68039104148576,54.27087534294209,54.86785497171443,55.47140137640328,56.08158679154376,56.69848424625071,57.32216757295948,57.95271141626199,58.590191241840905,59.23468334550114,59.886264862301616,60.545013775786906,61.2110089273206,61.8843300255211,62.56505765580184,63.25327329001568,63.949059296205775,64.65249894846409,65.36367643689717,66.08267687770305,66.80958632335772,67.54449177291465,68.28748118241673,69.0386434754233,69.79806855365291
Cuba,123,RESELEC,61.75105287520519,56.95080160789792,60.47826671098402,59.09728861941125,59.07547773926431,61.43082926652989,62.8394146717914,63.53064823318111,64.22948536374611,64.93600970274728,65.65030580947749,66.3724591733818,67.10255622428896,67.84068434275615,68.58693187052641,69.34138812110224,70.10414339043436,70.87528896772909,71.65491714637407,72.44312123498423,73.23999556856903,74.04563551982329,74.86013751054138,75.68359902315724,76.51611861241203,77.35779591714854,78.20873167223719,79.06902772063172,79.93878702555867,80.81811368283982,81.70711293335104,82.60589117561786
Cuba,124,RESELEC,67.8386477535767,62.56517402820363,66.44038669987901,64.9232678501172,64.89930679121066,67.48685558842601,69.0343033595835,69.79368069653894,70.56141118420085,71.33758670722703,72.1223001610065,72.91564546277765,73.71771756286817,74.52861245605972,75.34842719307632,76.1772598922002,77.0152097510144,77.8623770582755,78.7188632059165,79.58477070118164,80.4602031788946,81.34526541386244,82.24006333341495,83.14470403008241,84.0592957744134,84.9839480279319,85.91877145623917,86.86387794225772,87.81938059962256,88.78539378621842,89.7620331178668,90.74941548216329
Cuba,125,RESELEC,77.39772993703521,71.38117582308683,75.80244118940739,74.07154650172461,74.04420911179032,76.9963670577042,78.76186428752479,79.62824479468757,80.50415548742913,81.38970119779081,82.28498791096649,83.1901227779872,84.10521412854501,85.03037148395903,85.96570557028251,86.91132833155565,87.86735294320276,88.83389382557793,89.81106665765925,90.79898839089356,91.79777726319334,92.80755281308848,93.82843589403248,94.86054868886671,95.90401472444434,96.9589588864132,98.02550743416376,99.10378801593946,100.1939296841148,101.29606291064007,102.41031960265708,103.53683311828624
Cuba,126,RESELEC,70.82491581033909,65.31930293338002,69.3651030828103,67.78120042014271,67.75618459161458,70.45763769816269,72.07320436616644,72.86600961419428,73.66753571995042,74.47787861286984,75.29713527761137,76.12540376566517,76.96278320708745,77.80937382236542,78.66527693441138,79.53059498068995,80.40543152547754,81.28989127225773,82.18408007625253,83.08810495709136,84.00207411161932,84.92609692684715,85.86028399304249,86.80474711696586,87.75959933525255,88.72495492794029,89.70092943214766,90.6876396559012,91.68520369211612,92.6937409327294,93.7133720829894,94.74421917590224
Cuba,127,RESELEC,76.1613741978588,70.24092886145336,74.59156868340047,72.88832340588472,72.86142270497176,75.76642271198543,77.50371778866322,78.35625868433853,79.21817752986625,80.08957748269475,80.97056283500437,81.86123902618947,82.76171265547752,83.67209149468779,84.59248450112929,85.52300183064176,86.46375485077881,87.41485615413731,88.37641957183278,89.34856018712301,90.33139434918132,91.32503968702233,92.3296151235796,93.34524088993884,94.37203853972828,95.41013096366522,96.45964240426558,97.5206984707124,98.59342615389023,99.67795384158303,100.77441133384043,101.88292985851264
