,REGION,TECHNOLOGY,FUEL,YEAR,value,energy_MWh,DiscountFactor,EnergyDiscounted_MWh
17137,Cuba,PWRNG02,ELC01,2036,985.5078839999993,985507.8839999993,0.5846792890864373,576206.0490061986
17138,Cuba,PWRNG02,ELC01,2037,985.5078839999991,985507.883999999,0.5568374181775593,548767.665720189
17139,Cuba,PWRNG02,ELC01,2038,985.5078839999993,985507.8839999993,0.5303213506452945,522635.87211446586
17140,Cuba,PWRNG02,ELC01,2039,985.5078839999989,985507.8839999988,0.5050679529955185,497748.44963282434
17141,Cuba,PWRNG02,ELC01,2040,985.5078839999991,985507.883999999,0.48101709809097,474046.1425074518
20480,Cuba,PWRPV01,ELC01,2019,249.58182977396294,249581.82977396293,1.3400956406250002,334463.5220592986
20481,Cuba,PWRPV01,ELC01,2020,249.58182977396294,249581.82977396293,1.2762815625000004,318536.6876755225
20482,Cuba,PWRPV01,ELC01,2021,249.58182977396294,249581.82977396293,1.2155062500000002,303368.2739766881
20483,Cuba,PWRPV01,ELC01,2022,249.58182977396294,249581.82977396293,1.1576250000000001,288922.1656920839
20484,Cuba,PWRPV01,ELC01,2023,249.58182977396294,249581.82977396293,1.1025,275163.96732579416
20485,Cuba,PWRPV01,ELC01,2024,249.58182977396294,249581.82977396293,1.05,262060.92126266108
20486,Cuba,PWRPV01,ELC01,2025,1029.5250478175972,1029525.0478175972,1.0,1029525.0478175972
20487,Cuba,PWRPV01,ELC01,2026,1809.4682658612317,1809468.2658612316,0.9523809523809523,1723303.11034403
20488,Cuba,PWRPV01,ELC01,2027,2589.4114839048652,2589411.483904865,0.9070294784580498,2348672.547759515
20489,Cuba,PWRPV01,ELC01,2028,3369.3547019485004,3369354.7019485002,0.863837598531476,2910575.2743319296
20490,Cuba,PWRPV01,ELC01,2029,4149.297919992135,4149297.9199921344,0.8227024747918819,3413637.667426337
20491,Cuba,PWRPV01,ELC01,2030,4929.241138035768,4929241.138035768,0.7835261664684589,3862189.4124837886
20492,Cuba,PWRPV01,ELC01,2031,5709.184356079402,5709184.356079402,0.7462153966366274,4260281.268743419
20493,Cuba,PWRPV01,ELC01,2032,6489.127574123036,6489127.574123035,0.7106813301301214,4611701.815761806
20494,Cuba,PWRPV01,ELC01,2033,7269.070792166671,7269070.792166671,0.676839362028687,4919993.237511452
20495,Cuba,PWRPV01,ELC01,2034,7905.659627612254,7905659.627612254,0.6446089162177971,5096058.684541929
20496,Cuba,PWRPV01,ELC01,2035,8103.162385486555,8103162.385486554,0.6139132535407591,4974638.784043149
20497,Cuba,PWRPV01,ELC01,2036,8242.468129845427,8242468.129845427,0.5846792890864373,4819200.406475641
20498,Cuba,PWRPV01,ELC01,2037,8383.306244771555,8383306.244771555,0.5568374181775593,4668138.605130402
20499,Cuba,PWRPV01,ELC01,2038,8526.36383199117,8526363.83199117,0.5303213506452945,4521712.783474746
20500,Cuba,PWRPV01,ELC01,2039,8672.975575107956,8672975.575107956,0.5050679529955185,4380442.020099905
20501,Cuba,PWRPV01,ELC01,2040,9050.633468510934,9050633.468510933,0.48101709809097,4353509.44690814
20502,Cuba,PWRPV01,ELC01,2041,9521.396940175126,9521396.940175125,0.45811152199140004,4361861.643747886
20503,Cuba,PWRPV01,ELC01,2042,9784.492774661083,9784492.774661083,0.4362966876108571,4268941.787536995
20504,Cuba,PWRPV01,ELC01,2043,9950.251288027548,9950251.288027547,0.415520654867483,4134534.931297223
20505,Cuba,PWRPV01,ELC01,2044,10163.605272760013,10163605.272760013,0.39573395701665043,4022083.732144613
20506,Cuba,PWRPV01,ELC01,2045,10383.011217322572,10383011.217322571,0.3768894828730004,3913247.728361266
20507,Cuba,PWRPV01,ELC01,2046,10597.315058338638,10597315.058338638,0.35894236464095275,3803825.325885247
20508,Cuba,PWRPV01,ELC01,2047,10739.804716707476,10739804.716707477,0.3418498710866216,3671400.857901942
20509,Cuba,PWRPV01,ELC01,2048,10879.439144973352,10879439.144973353,0.3255713057967825,3542033.2087656055
20510,Cuba,PWRPV01,ELC01,2049,11021.23715793287,11021237.15793287,0.31006791028265,3417331.9742897376
20511,Cuba,PWRPV01,ELC01,2050,11093.852799833885,11093852.799833884,0.29530277169776187,3276045.4805979216
19136,Cuba,PWRWND001,ELC01,2019,31.423401682202346,31423.401682202348,1.3400956406250002,42110.36360792766
19137,Cuba,PWRWND001,ELC01,2020,31.423401682202346,31423.401682202348,1.2762815625000004,40105.108198026355
19138,Cuba,PWRWND001,ELC01,2021,31.423401682202346,31423.401682202348,1.2155062500000002,38195.34114097748
19139,Cuba,PWRWND001,ELC01,2022,31.423401682202346,31423.401682202348,1.1576250000000001,36376.5153723595
19140,Cuba,PWRWND001,ELC01,2023,31.423401682202346,31423.401682202348,1.1025,34644.30035462809
