REGION,FUEL,YEAR,value
Cuba,COMELC,2042,34.75
Cuba,COMELC,2043,35.14
Cuba,COMELC,2044,35.52
Cuba,COMELC,2045,35.91
Cuba,COMELC,2046,36.31
Cuba,COMELC,2047,36.71
Cuba,COMELC,2048,37.11
Cuba,COMELC,2049,37.52
Cuba,COMELC,2050,37.93
Cuba,COMELC,2051,38.3093
Cuba,COMELC,2052,38.692393
Cuba,COMELC,2053,39.07931693
Cuba,COMELC,2054,39.4701100993
Cuba,COMELC,2055,39.864811200293
Cuba,PRIVATEELC,2019,1.69
Cuba,PRIVATEELC,2020,1.677
Cuba,PRIVATEELC,2021,1.988
Cuba,PRIVATEELC,2022,3.0
Cuba,PRIVATEELC,2023,3.0
Cuba,PRIVATEELC,2024,3.0
Cuba,PRIVATEELC,2025,3.0
Cuba,PRIVATEELC,2026,3.18
Cuba,PRIVATEELC,2027,3.25
Cuba,PRIVATEELC,2028,3.25
Cuba,PRIVATEELC,2029,3.28
Cuba,PRIVATEELC,2030,3.32
Cuba,PRIVATEELC,2031,3.35
Cuba,PRIVATEELC,2032,3.39
Cuba,PRIVATEELC,2033,3.43
Cuba,PRIVATEELC,2034,3.47
Cuba,PRIVATEELC,2035,3.5
Cuba,PRIVATEELC,2036,3.54
Cuba,PRIVATEELC,2037,3.58
Cuba,PRIVATEELC,2038,3.62
Cuba,PRIVATEELC,2039,3.66
Cuba,PRIVATEELC,2040,3.7
Cuba,PRIVATEELC,2041,3.74
Cuba,PRIVATEELC,2042,3.789
Cuba,PRIVATEELC,2043,3.83
Cuba,PRIVATEELC,2044,3.87
Cuba,PRIVATEELC,2045,3.915
Cuba,PRIVATEELC,2046,3.95
Cuba,PRIVATEELC,2047,4.0
Cuba,PRIVATEELC,2048,4.04
Cuba,PRIVATEELC,2049,4.09
Cuba,PRIVATEELC,2050,4.14
Cuba,PRIVATEELC,2051,4.1814
Cuba,PRIVATEELC,2052,4.223214
Cuba,PRIVATEELC,2053,4.26544614
Cuba,PRIVATEELC,2054,4.3081006014
Cuba,PRIVATEELC,2055,4.351181607414
Cuba,AUXFUEL05,2019,21.7712957091524
Cuba,AUXFUEL05,2020,22.7143662368773
Cuba,AUXFUEL05,2021,22.8239272880998
Cuba,AUXFUEL05,2022,23.1804410624956
Cuba,AUXFUEL05,2023,23.1804410624956
Cuba,AUXFUEL05,2024,23.1804410624956
Cuba,AUXFUEL05,2025,23.1804410624956
Cuba,AUXFUEL05,2026,23.469315859931
