REGION,EMISSION,YEAR,value
Cuba,CO2,2030,10.647
Cuba,CO2,2031,10.11465
Cuba,CO2,2032,9.5823
Cuba,CO2,2033,9.04995
Cuba,CO2,2034,8.5176
Cuba,CO2,2035,7.98525
Cuba,CO2,2036,7.4529
Cuba,CO2,2037,6.92055
Cuba,CO2,2038,6.3882
Cuba,CO2,2039,5.85585
Cuba,CO2,2040,5.3235
Cuba,CO2,2041,4.79115
Cuba,CO2,2042,4.2588
Cuba,CO2,2043,3.72645
Cuba,CO2,2044,3.1941
Cuba,CO2,2045,2.66175
Cuba,CO2,2046,2.1294
Cuba,CO2,2047,1.59705
Cuba,CO2,2048,1.0647
Cuba,CO2,2049,0.532349999999997
Cuba,CO2,2050,0.0
