REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,value
Atlantis,ID,HF_Imp,1,UR,2018,0.0
Atlantis,ID,HF_Imp,1,UR,2019,0.0
Atlantis,ID,HF_Imp,1,UR,2020,0.0
Atlantis,ID,HF_Imp,1,UR,2021,0.0
Atlantis,ID,HF_Imp,1,UR,2022,0.0
Atlantis,ID,HF_Imp,1,UR,2023,0.0
Atlantis,ID,HF_Imp,1,UR,2024,0.0
Atlantis,ID,HF_Imp,1,UR,2025,0.0
Atlantis,ID,HF_Imp,1,UR,2026,0.0
Atlantis,ID,HF_Imp,1,UR,2027,0.0
Atlantis,ID,HF_Imp,1,UR,2028,0.0
Atlantis,ID,HF_Imp,1,UR,2029,0.0
Atlantis,ID,HF_Imp,1,UR,2030,0.0
Atlantis,ID,HF_Imp,1,UR,2031,0.0
Atlantis,ID,HF_Imp,1,UR,2032,0.0
Atlantis,ID,HF_Imp,1,UR,2033,0.0
Atlantis,ID,HF_Imp,1,UR,2034,0.0
Atlantis,ID,HF_Imp,1,UR,2035,0.0
Atlantis,ID,HF_Imp,1,UR,2036,0.0
Atlantis,ID,HF_Imp,1,UR,2037,0.0
Atlantis,ID,HF_Imp,1,UR,2038,0.0
Atlantis,ID,HF_Imp,1,UR,2039,0.0
Atlantis,ID,HF_Imp,1,UR,2040,0.0
Atlantis,ID,HF_Imp,1,EL_Transmission,2014,0.0
Atlantis,ID,HF_Imp,1,EL_Transmission,2015,0.0
Atlantis,ID,HF_Imp,1,EL_Transmission,2016,0.0
Atlantis,ID,HF_Imp,1,EL_Transmission,2017,0.0
Atlantis,ID,HF_Imp,1,EL_Transmission,2018,0.0
Atlantis,ID,HF_Imp,1,EL_Transmission,2019,0.0
Atlantis,ID,HF_Imp,1,EL_Transmission,2020,0.0
Atlantis,ID,HF_Imp,1,EL_Transmission,2021,0.0
Atlantis,ID,HF_Imp,1,EL_Transmission,2022,0.0
Atlantis,ID,HF_Imp,1,EL_Transmission,2023,0.0
Atlantis,ID,HF_Imp,1,EL_Transmission,2024,0.0
Atlantis,ID,HF_Imp,1,EL_Transmission,2025,0.0
Atlantis,ID,HF_Imp,1,EL_Transmission,2026,0.0
Atlantis,ID,HF_Imp,1,EL_Transmission,2027,0.0
Atlantis,ID,HF_Imp,1,EL_Transmission,2028,0.0
Atlantis,ID,HF_Imp,1,EL_Transmission,2029,0.0
Atlantis,ID,HF_Imp,1,EL_Transmission,2030,0.0
