REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,value
Atlantis,UR_Imp,1,2035,10.000000000000002
Atlantis,UR_Imp,1,2036,10.0
Atlantis,UR_Imp,1,2037,10.000000000000002
Atlantis,UR_Imp,1,2038,10.0
Atlantis,UR_Imp,1,2039,9.999999999999993
Atlantis,UR_Imp,1,2040,10.000000000000004
Atlantis,NGSC,1,2014,1.4525382733033227
Atlantis,NGSC,1,2015,0.9026864455293292
Atlantis,NGSC,1,2016,0.9812010750426449
Atlantis,NGSC,1,2017,1.0904243107842588
Atlantis,NGSC,1,2018,1.1038048769530997
Atlantis,NGSC,1,2019,1.032262538744219
Atlantis,NGSC,1,2020,0.20802377130222083
Atlantis,NGSC,1,2021,0.0
Atlantis,NGSC,1,2022,0.0
Atlantis,NGSC,1,2023,0.0
Atlantis,NGSC,1,2024,0.0
Atlantis,NGSC,1,2025,0.0
Atlantis,NGSC,1,2026,0.0
Atlantis,NGSC,1,2027,0.0
Atlantis,NGSC,1,2028,0.0
Atlantis,NGSC,1,2029,0.0
Atlantis,NGSC,1,2030,0.0
Atlantis,NGSC,1,2031,0.0
Atlantis,NGSC,1,2032,0.0
Atlantis,NGSC,1,2033,0.0
Atlantis,NGSC,1,2034,0.0
Atlantis,NGSC,1,2035,0.0
Atlantis,NGSC,1,2036,0.0
Atlantis,NGSC,1,2037,0.0
Atlantis,NGSC,1,2038,0.0
Atlantis,NGSC,1,2039,0.0
Atlantis,NGSC,1,2040,0.0
Atlantis,DSGC,1,2014,0.0
Atlantis,DSGC,1,2015,0.0
Atlantis,DSGC,1,2016,0.0
Atlantis,DSGC,1,2017,0.0
Atlantis,DSGC,1,2018,0.0
Atlantis,DSGC,1,2019,0.0
Atlantis,DSGC,1,2020,0.0
Atlantis,DSGC,1,2021,0.0
Atlantis,DSGC,1,2022,0.0
Atlantis,DSGC,1,2023,0.0
Atlantis,DSGC,1,2024,0.0
Atlantis,DSGC,1,2025,0.0
Atlantis,DSGC,1,2026,0.0
Atlantis,DSGC,1,2027,0.0
Atlantis,DSGC,1,2028,0.0
Atlantis,DSGC,1,2029,0.0
Atlantis,DSGC,1,2030,0.0
Atlantis,DSGC,1,2031,0.0
Atlantis,DSGC,1,2032,0.0
Atlantis,DSGC,1,2033,0.0
Atlantis,DSGC,1,2034,0.0
Atlantis,DSGC,1,2035,0.0
Atlantis,DSGC,1,2036,0.0
Atlantis,DSGC,1,2037,0.0
Atlantis,DSGC,1,2038,0.0
Atlantis,DSGC,1,2039,0.0
Atlantis,DSGC,1,2040,0.0
Atlantis,IGCC,1,2014,0.9460799999999998
Atlantis,IGCC,1,2015,0.9460799999999998
Atlantis,IGCC,1,2016,0.9460799999999998
Atlantis,IGCC,1,2017,0.9460799999999998
Atlantis,IGCC,1,2018,0.9460799999999998
Atlantis,IGCC,1,2019,0.9460799999999998
Atlantis,IGCC,1,2020,0.9460799999999998
Atlantis,IGCC,1,2021,0.9460799999999998
Atlantis,IGCC,1,2022,0.9460799999999998
Atlantis,IGCC,1,2023,0.9460799999999998
Atlantis,IGCC,1,2024,0.9460799999999998
Atlantis,IGCC,1,2025,0.9460799999999998
Atlantis,IGCC,1,2026,0.9460799999999999
Atlantis,IGCC,1,2027,0.9460799999999998
Atlantis,IGCC,1,2028,0.9460799999999998
Atlantis,IGCC,1,2029,0.9460799999999998
Atlantis,IGCC,1,2030,0.9460799999999998
Atlantis,IGCC,1,2031,0.6154554791807445
Atlantis,IGCC,1,2032,0.8739504572739459
Atlantis,IGCC,1,2033,0.9460799999999998
Atlantis,IGCC,1,2034,0.9460799999999998
Atlantis,IGCC,1,2035,0.9460799999999998
Atlantis,IGCC,1,2036,0.9460799999999998
Atlantis,IGCC,1,2037,0.9460799999999998
Atlantis,IGCC,1,2038,0.9460799999999998
Atlantis,IGCC,1,2039,0.9460799999999998
Atlantis,IGCC,1,2040,0.9460799999999999
Atlantis,HFSC,1,2014,0.0353334903427161
Atlantis,HFSC,1,2015,0.6166914960309192
Atlantis,HFSC,1,2016,0.6809988562882693
Atlantis,HFSC,1,2017,0.7702576150235791
Atlantis,HFSC,1,2018,0.002617260826354971
Atlantis,HFSC,1,2019,0.0
Atlantis,HFSC,1,2020,0.0
Atlantis,HFSC,1,2021,0.0
Atlantis,HFSC,1,2022,0.0
Atlantis,HFSC,1,2023,0.0
Atlantis,HFSC,1,2024,0.0
Atlantis,HFSC,1,2025,0.0
Atlantis,HFSC,1,2026,0.0
Atlantis,HFSC,1,2027,0.0
Atlantis,HFSC,1,2028,0.0
Atlantis,HFSC,1,2029,0.0
Atlantis,HFSC,1,2030,0.0
Atlantis,HFSC,1,2031,0.0
Atlantis,HFSC,1,2032,0.0
Atlantis,HFSC,1,2033,0.0
Atlantis,HFSC,1,2034,0.0
Atlantis,HFSC,1,2035,0.0
Atlantis,HFSC,1,2036,0.0
Atlantis,HFSC,1,2037,0.0
Atlantis,HFSC,1,2038,0.0
Atlantis,HFSC,1,2039,0.0
Atlantis,HFSC,1,2040,0.0
Atlantis,HYDRO_DAM,1,2014,3.8815477025480245
Atlantis,HYDRO_DAM,1,2015,3.8815477025480245
Atlantis,HYDRO_DAM,1,2016,3.8815477025480245
Atlantis,HYDRO_DAM,1,2017,3.8815477025480245
