REGION,TECHNOLOGY,FUEL,YEAR,value
Atlantis,DS_Imp,NG,2029,0.0
Atlantis,DS_Imp,NG,2030,0.0
Atlantis,DS_Imp,NG,2031,0.0
Atlantis,DS_Imp,NG,2032,0.0
Atlantis,DS_Imp,NG,2033,0.0
Atlantis,DS_Imp,NG,2034,0.0
Atlantis,DS_Imp,NG,2035,0.0
Atlantis,DS_Imp,NG,2036,0.0
Atlantis,DS_Imp,NG,2037,0.0
Atlantis,DS_Imp,NG,2038,0.0
Atlantis,DS_Imp,NG,2039,0.0
Atlantis,DS_Imp,NG,2040,0.0
Atlantis,DS_Imp,CO,2014,0.0
Atlantis,DS_Imp,CO,2015,0.0
Atlantis,DS_Imp,CO,2016,0.0
Atlantis,DS_Imp,CO,2017,0.0
Atlantis,DS_Imp,CO,2018,0.0
Atlantis,DS_Imp,CO,2019,0.0
Atlantis,DS_Imp,CO,2020,0.0
Atlantis,DS_Imp,CO,2021,0.0
Atlantis,DS_Imp,CO,2022,0.0
Atlantis,DS_Imp,CO,2023,0.0
Atlantis,DS_Imp,CO,2024,0.0
Atlantis,DS_Imp,CO,2025,0.0
Atlantis,DS_Imp,CO,2026,0.0
Atlantis,DS_Imp,CO,2027,0.0
Atlantis,DS_Imp,CO,2028,0.0
Atlantis,DS_Imp,CO,2029,0.0
Atlantis,DS_Imp,CO,2030,0.0
Atlantis,DS_Imp,CO,2031,0.0
Atlantis,DS_Imp,CO,2032,0.0
Atlantis,DS_Imp,CO,2033,0.0
Atlantis,DS_Imp,CO,2034,0.0
Atlantis,DS_Imp,CO,2035,0.0
Atlantis,DS_Imp,CO,2036,0.0
Atlantis,DS_Imp,CO,2037,0.0
Atlantis,DS_Imp,CO,2038,0.0
Atlantis,DS_Imp,CO,2039,0.0
Atlantis,DS_Imp,CO,2040,0.0
Atlantis,DS_Imp,UR,2014,0.0
Atlantis,DS_Imp,UR,2015,0.0
Atlantis,DS_Imp,UR,2016,0.0
Atlantis,DS_Imp,UR,2017,0.0
Atlantis,DS_Imp,UR,2018,0.0
Atlantis,DS_Imp,UR,2019,0.0
Atlantis,DS_Imp,UR,2020,0.0
Atlantis,DS_Imp,UR,2021,0.0
Atlantis,DS_Imp,UR,2022,0.0
Atlantis,DS_Imp,UR,2023,0.0
Atlantis,DS_Imp,UR,2024,0.0
Atlantis,DS_Imp,UR,2025,0.0
Atlantis,DS_Imp,UR,2026,0.0
Atlantis,DS_Imp,UR,2027,0.0
Atlantis,DS_Imp,UR,2028,0.0
Atlantis,DS_Imp,UR,2029,0.0
Atlantis,DS_Imp,UR,2030,0.0
Atlantis,DS_Imp,UR,2031,0.0
Atlantis,DS_Imp,UR,2032,0.0
Atlantis,DS_Imp,UR,2033,0.0
Atlantis,DS_Imp,UR,2034,0.0
Atlantis,DS_Imp,UR,2035,0.0
Atlantis,DS_Imp,UR,2036,0.0
Atlantis,DS_Imp,UR,2037,0.0
Atlantis,DS_Imp,UR,2038,0.0
Atlantis,DS_Imp,UR,2039,0.0
Atlantis,DS_Imp,UR,2040,0.0
Atlantis,DS_Imp,EL_Transmission,2014,0.0
Atlantis,DS_Imp,EL_Transmission,2015,0.0
Atlantis,DS_Imp,EL_Transmission,2016,0.0
Atlantis,DS_Imp,EL_Transmission,2017,0.0
Atlantis,DS_Imp,EL_Transmission,2018,0.0
Atlantis,DS_Imp,EL_Transmission,2019,0.0
Atlantis,DS_Imp,EL_Transmission,2020,0.0
Atlantis,DS_Imp,EL_Transmission,2021,0.0
Atlantis,DS_Imp,EL_Transmission,2022,0.0
Atlantis,DS_Imp,EL_Transmission,2023,0.0
Atlantis,DS_Imp,EL_Transmission,2024,0.0
Atlantis,DS_Imp,EL_Transmission,2025,0.0
Atlantis,DS_Imp,EL_Transmission,2026,0.0
Atlantis,DS_Imp,EL_Transmission,2027,0.0
Atlantis,DS_Imp,EL_Transmission,2028,0.0
Atlantis,DS_Imp,EL_Transmission,2029,0.0
Atlantis,DS_Imp,EL_Transmission,2030,0.0
Atlantis,DS_Imp,EL_Transmission,2031,0.0
Atlantis,DS_Imp,EL_Transmission,2032,0.0
Atlantis,DS_Imp,EL_Transmission,2033,0.0
Atlantis,DS_Imp,EL_Transmission,2034,0.0
Atlantis,DS_Imp,EL_Transmission,2035,0.0
Atlantis,DS_Imp,EL_Transmission,2036,0.0
Atlantis,DS_Imp,EL_Transmission,2037,0.0
Atlantis,DS_Imp,EL_Transmission,2038,0.0
Atlantis,DS_Imp,EL_Transmission,2039,0.0
Atlantis,DS_Imp,EL_Transmission,2040,0.0
Atlantis,DS_Imp,EL_Distribution,2014,0.0
Atlantis,DS_Imp,EL_Distribution,2015,0.0
Atlantis,DS_Imp,EL_Distribution,2016,0.0
Atlantis,DS_Imp,EL_Distribution,2017,0.0
Atlantis,DS_Imp,EL_Distribution,2018,0.0
Atlantis,DS_Imp,EL_Distribution,2019,0.0
Atlantis,DS_Imp,EL_Distribution,2020,0.0
Atlantis,DS_Imp,EL_Distribution,2021,0.0
Atlantis,DS_Imp,EL_Distribution,2022,0.0
Atlantis,DS_Imp,EL_Distribution,2023,0.0
Atlantis,DS_Imp,EL_Distribution,2024,0.0
Atlantis,DS_Imp,EL_Distribution,2025,0.0
Atlantis,DS_Imp,EL_Distribution,2026,0.0
Atlantis,DS_Imp,EL_Distribution,2027,0.0
Atlantis,DS_Imp,EL_Distribution,2028,0.0
Atlantis,DS_Imp,EL_Distribution,2029,0.0
Atlantis,DS_Imp,EL_Distribution,2030,0.0
Atlantis,DS_Imp,EL_Distribution,2031,0.0
Atlantis,DS_Imp,EL_Distribution,2032,0.0
Atlantis,DS_Imp,EL_Distribution,2033,0.0
Atlantis,DS_Imp,EL_Distribution,2034,0.0
Atlantis,DS_Imp,EL_Distribution,2035,0.0
Atlantis,DS_Imp,EL_Distribution,2036,0.0
Atlantis,DS_Imp,EL_Distribution,2037,0.0
Atlantis,DS_Imp,EL_Distribution,2038,0.0
Atlantis,DS_Imp,EL_Distribution,2039,0.0
Atlantis,DS_Imp,EL_Distribution,2040,0.0
Atlantis,DS_Imp,EL_Industry,2014,0.0
Atlantis,DS_Imp,EL_Industry,2015,0.0
Atlantis,DS_Imp,EL_Industry,2016,0.0
Atlantis,DS_Imp,EL_Industry,2017,0.0
Atlantis,DS_Imp,EL_Industry,2018,0.0
Atlantis,DS_Imp,EL_Industry,2019,0.0
Atlantis,DS_Imp,EL_Industry,2020,0.0
Atlantis,DS_Imp,EL_Industry,2021,0.0
Atlantis,DS_Imp,EL_Industry,2022,0.0
Atlantis,DS_Imp,EL_Industry,2023,0.0
Atlantis,DS_Imp,EL_Industry,2024,0.0
Atlantis,DS_Imp,EL_Industry,2025,0.0
Atlantis,DS_Imp,EL_Industry,2026,0.0
Atlantis,DS_Imp,EL_Industry,2027,0.0
Atlantis,DS_Imp,EL_Industry,2028,0.0
Atlantis,DS_Imp,EL_Industry,2029,0.0
Atlantis,DS_Imp,EL_Industry,2030,0.0
Atlantis,DS_Imp,EL_Industry,2031,0.0
Atlantis,DS_Imp,EL_Industry,2032,0.0
Atlantis,DS_Imp,EL_Industry,2033,0.0
Atlantis,DS_Imp,EL_Industry,2034,0.0
Atlantis,DS_Imp,EL_Industry,2035,0.0
Atlantis,DS_Imp,EL_Industry,2036,0.0
Atlantis,DS_Imp,EL_Industry,2037,0.0
Atlantis,DS_Imp,EL_Industry,2038,0.0
Atlantis,DS_Imp,EL_Industry,2039,0.0
Atlantis,DS_Imp,EL_Industry,2040,0.0
Atlantis,DS_Imp,EL_Residential,2014,0.0
Atlantis,DS_Imp,EL_Residential,2015,0.0
Atlantis,DS_Imp,EL_Residential,2016,0.0
Atlantis,DS_Imp,EL_Residential,2017,0.0
Atlantis,DS_Imp,EL_Residential,2018,0.0
Atlantis,DS_Imp,EL_Residential,2019,0.0
Atlantis,DS_Imp,EL_Residential,2020,0.0
Atlantis,DS_Imp,EL_Residential,2021,0.0
Atlantis,DS_Imp,EL_Residential,2022,0.0
Atlantis,DS_Imp,EL_Residential,2023,0.0
Atlantis,DS_Imp,EL_Residential,2024,0.0
Atlantis,DS_Imp,EL_Residential,2025,0.0
Atlantis,DS_Imp,EL_Residential,2026,0.0
Atlantis,DS_Imp,EL_Residential,2027,0.0
Atlantis,DS_Imp,EL_Residential,2028,0.0
Atlantis,DS_Imp,EL_Residential,2029,0.0
Atlantis,DS_Imp,EL_Residential,2030,0.0
Atlantis,DS_Imp,EL_Residential,2031,0.0
Atlantis,DS_Imp,EL_Residential,2032,0.0
Atlantis,DS_Imp,EL_Residential,2033,0.0
Atlantis,DS_Imp,EL_Residential,2034,0.0
Atlantis,DS_Imp,EL_Residential,2035,0.0
Atlantis,DS_Imp,EL_Residential,2036,0.0
Atlantis,DS_Imp,EL_Residential,2037,0.0
Atlantis,DS_Imp,EL_Residential,2038,0.0
Atlantis,DS_Imp,EL_Residential,2039,0.0
Atlantis,DS_Imp,EL_Residential,2040,0.0
Atlantis,DS_Imp,EL_Transport,2014,0.0
Atlantis,DS_Imp,EL_Transport,2015,0.0
Atlantis,DS_Imp,EL_Transport,2016,0.0
Atlantis,DS_Imp,EL_Transport,2017,0.0
Atlantis,DS_Imp,EL_Transport,2018,0.0
Atlantis,DS_Imp,EL_Transport,2019,0.0
Atlantis,DS_Imp,EL_Transport,2020,0.0
Atlantis,DS_Imp,EL_Transport,2021,0.0
Atlantis,DS_Imp,EL_Transport,2022,0.0
Atlantis,DS_Imp,EL_Transport,2023,0.0
Atlantis,DS_Imp,EL_Transport,2024,0.0
Atlantis,DS_Imp,EL_Transport,2025,0.0
