REGION,FUEL,YEAR,value
Atlantis,CO,2038,1.97068464
Atlantis,CO,2039,1.97068464
Atlantis,CO,2040,1.97068464
Atlantis,UR,2014,0.0
Atlantis,UR,2015,0.0
Atlantis,UR,2016,0.0
Atlantis,UR,2017,0.0
Atlantis,UR,2018,3.33333333333333
Atlantis,UR,2019,3.33333333333333
Atlantis,UR,2020,6.666666666666661
Atlantis,UR,2021,6.66666666666666
Atlantis,UR,2022,6.666666666666656
Atlantis,UR,2023,6.6666666666666625
Atlantis,UR,2024,6.666666666666657
Atlantis,UR,2025,6.66666666666666
Atlantis,UR,2026,6.666666666666657
Atlantis,UR,2027,6.66666666666666
Atlantis,UR,2028,6.666666666666661
Atlantis,UR,2029,6.666666666666659
Atlantis,UR,2030,6.666666666666661
Atlantis,UR,2031,10.0
Atlantis,UR,2032,10.0
Atlantis,UR,2033,10.000000000000004
Atlantis,UR,2034,10.0
Atlantis,UR,2035,10.000000000000002
Atlantis,UR,2036,9.999999999999996
Atlantis,UR,2037,10.000000000000002
Atlantis,UR,2038,10.000000000000002
Atlantis,UR,2039,9.999999999999996
Atlantis,UR,2040,10.000000000000002
Atlantis,EL_Transmission,2014,6.315499466194064
Atlantis,EL_Transmission,2015,6.347005644108273
Atlantis,EL_Transmission,2016,6.48982763387894
Atlantis,EL_Transmission,2017,6.688309628355864
Atlantis,EL_Transmission,2018,6.934049840327479
Atlantis,EL_Transmission,2019,7.320742000188992
Atlantis,EL_Transmission,2020,7.552829045320466
Atlantis,EL_Transmission,2021,7.8258734920377515
Atlantis,EL_Transmission,2022,8.110470134062961
Atlantis,EL_Transmission,2023,8.41922060294298
Atlantis,EL_Transmission,2024,8.619803569024224
Atlantis,EL_Transmission,2025,8.769977909797255
Atlantis,EL_Transmission,2026,8.929603474248355
Atlantis,EL_Transmission,2027,9.103931641905747
Atlantis,EL_Transmission,2028,9.29296241272738
Atlantis,EL_Transmission,2029,9.502996602520227
Atlantis,EL_Transmission,2030,9.732984774961206
Atlantis,EL_Transmission,2031,9.974523043777
Atlantis,EL_Transmission,2032,10.219213819375963
Atlantis,EL_Transmission,2033,10.469153875574026
Atlantis,EL_Transmission,2034,10.721194903349652
Atlantis,EL_Transmission,2035,10.977437874197427
Atlantis,EL_Transmission,2036,11.245230941464355
Atlantis,EL_Transmission,2037,11.527726611937576
Atlantis,EL_Transmission,2038,11.824924885560254
Atlantis,EL_Transmission,2039,12.13682576233012
Atlantis,EL_Transmission,2040,12.464478678650394
Atlantis,EL_Distribution,2014,6.361415874307914
Atlantis,EL_Distribution,2015,6.3924431583178265
Atlantis,EL_Distribution,2016,6.533094253843979
Atlantis,EL_Distribution,2017,6.728559322004855
Atlantis,EL_Distribution,2018,6.970564282754501
Atlantis,EL_Distribution,2019,7.20946672178612
Atlantis,EL_Distribution,2020,7.438026043831594
Atlantis,EL_Distribution,2021,7.706920214958779
Atlantis,EL_Distribution,2022,7.987190988025204
Atlantis,EL_Distribution,2023,8.291248449778248
Atlantis,EL_Distribution,2024,8.488782554775057
Atlantis,EL_Distribution,2025,8.636674245568335
Atlantis,EL_Distribution,2026,8.79387350143978
Atlantis,EL_Distribution,2027,8.965551880948782
Atlantis,EL_Distribution,2028,9.151709384053925
Atlantis,EL_Distribution,2029,9.358551054161921
Atlantis,EL_Distribution,2030,9.585043406381795
Atlantis,EL_Distribution,2031,9.822910293511592
Atlantis,EL_Distribution,2032,10.06388176932145
Atlantis,EL_Distribution,2033,10.310022736665301
Atlantis,EL_Distribution,2034,10.558232740818738
Atlantis,EL_Distribution,2035,10.810580818509628
Atlantis,EL_Distribution,2036,11.074303431154098
Atlantis,EL_Distribution,2037,11.352505167436124
Atlantis,EL_Distribution,2038,11.645186027299738
Atlantis,EL_Distribution,2039,11.952346010742703
Atlantis,EL_Distribution,2040,12.27501860273491
Atlantis,EL_Industry,2014,0.0
Atlantis,EL_Industry,2015,0.0
Atlantis,EL_Industry,2016,0.0
Atlantis,EL_Industry,2017,0.0
Atlantis,EL_Industry,2018,0.0
Atlantis,EL_Industry,2019,0.0
Atlantis,EL_Industry,2020,0.0
Atlantis,EL_Industry,2021,0.0
Atlantis,EL_Industry,2022,0.0
Atlantis,EL_Industry,2023,0.0
Atlantis,EL_Industry,2024,0.0
Atlantis,EL_Industry,2025,0.0
Atlantis,EL_Industry,2026,0.0
Atlantis,EL_Industry,2027,0.0
Atlantis,EL_Industry,2028,0.0
Atlantis,EL_Industry,2029,0.0
Atlantis,EL_Industry,2030,0.0
Atlantis,EL_Industry,2031,0.0
Atlantis,EL_Industry,2032,0.0
Atlantis,EL_Industry,2033,0.0
Atlantis,EL_Industry,2034,0.0
Atlantis,EL_Industry,2035,0.0
Atlantis,EL_Industry,2036,0.0
Atlantis,EL_Industry,2037,0.0
Atlantis,EL_Industry,2038,0.0
Atlantis,EL_Industry,2039,0.0
Atlantis,EL_Industry,2040,0.0
Atlantis,EL_Residential,2014,0.0
