REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,value
Cuba,IMPCRUDE,1,2019,14.0
Cuba,IMPCRUDE,1,2020,14.0
Cuba,IMPCRUDE,1,2021,14.0
Cuba,IMPCRUDE,1,2022,14.0
Cuba,IMPCRUDE,1,2023,14.0
Cuba,IMPCRUDE,1,2024,14.0
Cuba,IMPCRUDE,1,2025,14.0
Cuba,IMPCRUDE,1,2026,14.0
Cuba,IMPCRUDE,1,2027,14.0
Cuba,IMPCRUDE,1,2028,14.0
Cuba,IMPCRUDE,1,2029,14.0
Cuba,IMPCRUDE,1,2030,14.0
Cuba,IMPCRUDE,1,2031,14.0
Cuba,IMPCRUDE,1,2032,14.0
Cuba,IMPCRUDE,1,2033,14.0
Cuba,IMPCRUDE,1,2034,14.0
Cuba,IMPCRUDE,1,2035,14.0
Cuba,IMPCRUDE,1,2036,14.0
Cuba,IMPCRUDE,1,2037,14.0
Cuba,IMPCRUDE,1,2038,14.0
Cuba,IMPCRUDE,1,2039,14.0
Cuba,IMPCRUDE,1,2040,14.0
Cuba,IMPCRUDE,1,2041,14.0
Cuba,IMPCRUDE,1,2042,14.0
Cuba,IMPCRUDE,1,2043,14.0
Cuba,IMPCRUDE,1,2044,14.0
Cuba,IMPCRUDE,1,2045,14.0
Cuba,IMPCRUDE,1,2046,14.0
Cuba,IMPCRUDE,1,2047,14.0
Cuba,IMPCRUDE,1,2048,14.0
Cuba,IMPCRUDE,1,2049,14.0
Cuba,IMPCRUDE,1,2050,14.0
Cuba,IMPCRUDE,1,2051,14.0
Cuba,IMPCRUDE,1,2052,14.0
Cuba,IMPCRUDE,1,2053,14.0
Cuba,IMPCRUDE,1,2054,14.0
Cuba,IMPCRUDE,1,2055,14.0
Cuba,IMPCRUDE,2,2019,99999.0
Cuba,IMPCRUDE,2,2020,99999.0
Cuba,IMPCRUDE,2,2021,99999.0
Cuba,IMPCRUDE,2,2022,99999.0
Cuba,IMPCRUDE,2,2023,99999.0
Cuba,IMPCRUDE,2,2024,99999.0
Cuba,IMPCRUDE,2,2025,99999.0
Cuba,IMPCRUDE,2,2026,99999.0
Cuba,IMPCRUDE,2,2027,99999.0
Cuba,IMPCRUDE,2,2028,99999.0
Cuba,IMPCRUDE,2,2029,99999.0
Cuba,IMPCRUDE,2,2030,99999.0
Cuba,IMPCRUDE,2,2031,99999.0
Cuba,IMPCRUDE,2,2032,99999.0
Cuba,IMPCRUDE,2,2033,99999.0
Cuba,IMPCRUDE,2,2034,99999.0
Cuba,IMPCRUDE,2,2035,99999.0
Cuba,IMPCRUDE,2,2036,99999.0
Cuba,IMPCRUDE,2,2037,99999.0
Cuba,IMPCRUDE,2,2038,99999.0
Cuba,IMPCRUDE,2,2039,99999.0
Cuba,IMPCRUDE,2,2040,99999.0
Cuba,IMPCRUDE,2,2041,99999.0
Cuba,IMPCRUDE,2,2042,99999.0
Cuba,IMPCRUDE,2,2043,99999.0
Cuba,IMPCRUDE,2,2044,99999.0
Cuba,IMPCRUDE,2,2045,99999.0
Cuba,IMPCRUDE,2,2046,99999.0
Cuba,IMPCRUDE,2,2047,99999.0
Cuba,IMPCRUDE,2,2048,99999.0
Cuba,IMPCRUDE,2,2049,99999.0
Cuba,IMPCRUDE,2,2050,99999.0
Cuba,IMPCRUDE,2,2051,99999.0
Cuba,IMPCRUDE,2,2052,99999.0
Cuba,IMPCRUDE,2,2053,99999.0
Cuba,IMPCRUDE,2,2054,99999.0
Cuba,IMPCRUDE,2,2055,99999.0
Cuba,MINCRUDE,1,2019,11.25
Cuba,MINCRUDE,1,2020,11.25
Cuba,MINCRUDE,1,2021,11.25
Cuba,MINCRUDE,1,2022,11.25
Cuba,MINCRUDE,1,2023,11.25
Cuba,MINCRUDE,1,2024,11.25
Cuba,MINCRUDE,1,2025,11.25
Cuba,MINCRUDE,1,2026,11.25
Cuba,MINCRUDE,1,2027,11.25
Cuba,MINCRUDE,1,2028,11.25
Cuba,MINCRUDE,1,2029,11.25
Cuba,MINCRUDE,1,2030,11.25
Cuba,MINCRUDE,1,2031,11.25
Cuba,MINCRUDE,1,2032,11.25
Cuba,MINCRUDE,1,2033,11.25
Cuba,MINCRUDE,1,2034,11.25
Cuba,MINCRUDE,1,2035,11.25
Cuba,MINCRUDE,1,2036,11.25
Cuba,MINCRUDE,1,2037,11.25
Cuba,MINCRUDE,1,2038,11.25
Cuba,MINCRUDE,1,2039,11.25
Cuba,MINCRUDE,1,2040,11.25
Cuba,MINCRUDE,1,2041,11.25
Cuba,MINCRUDE,1,2042,11.25
Cuba,MINCRUDE,1,2043,11.25
Cuba,MINCRUDE,1,2044,11.25
Cuba,MINCRUDE,1,2045,11.25
Cuba,MINCRUDE,1,2046,11.25
Cuba,MINCRUDE,1,2047,11.25
Cuba,MINCRUDE,1,2048,11.25
Cuba,MINCRUDE,1,2049,11.25
Cuba,MINCRUDE,1,2050,11.25
Cuba,MINCRUDE,1,2051,11.25
Cuba,MINCRUDE,1,2052,11.25
Cuba,MINCRUDE,1,2053,11.25
Cuba,MINCRUDE,1,2054,11.25
Cuba,MINCRUDE,1,2055,11.25
Cuba,MINCRUDE,2,2019,99999.0
Cuba,MINCRUDE,2,2020,99999.0
Cuba,MINCRUDE,2,2021,99999.0
Cuba,MINCRUDE,2,2022,99999.0
Cuba,MINCRUDE,2,2023,99999.0
Cuba,MINCRUDE,2,2024,99999.0
Cuba,MINCRUDE,2,2025,99999.0
Cuba,MINCRUDE,2,2026,99999.0
Cuba,MINCRUDE,2,2027,99999.0
Cuba,MINCRUDE,2,2028,99999.0
Cuba,MINCRUDE,2,2029,99999.0
Cuba,MINCRUDE,2,2030,99999.0
Cuba,MINCRUDE,2,2031,99999.0
Cuba,MINCRUDE,2,2032,99999.0
Cuba,MINCRUDE,2,2033,99999.0
Cuba,MINCRUDE,2,2034,99999.0
Cuba,MINCRUDE,2,2035,99999.0
Cuba,MINCRUDE,2,2036,99999.0
Cuba,MINCRUDE,2,2037,99999.0
Cuba,MINCRUDE,2,2038,99999.0
Cuba,MINCRUDE,2,2039,99999.0
Cuba,MINCRUDE,2,2040,99999.0
Cuba,MINCRUDE,2,2041,99999.0
Cuba,MINCRUDE,2,2042,99999.0
Cuba,MINCRUDE,2,2043,99999.0
