REGION,TECHNOLOGY,value
Cuba,PWRCRUD001,10.0
Cuba,PWRCRUD002,10.0
Cuba,PWRCRUD003,10.0
Cuba,PWRCRUD004,10.0
Cuba,PWRCRUD008,10.0
Cuba,PWRCRUD005,10.0
Cuba,PWRCRUD006,10.0
Cuba,PWRCRUD007,10.0
Cuba,PWRCRUD009,10.0
Cuba,PWRNG01,10.0
Cuba,PWRNG02,10.0
Cuba,PWRBIO02,10.0
Cuba,PWRWND001,10.0
Cuba,PWRFO,10.0
Cuba,PWRDSL,10.0
