REGION,TECHNOLOGY,value
Cuba,PWRCRUD001,0.0
Cuba,PWRCRUD002,0.0
Cuba,PWRCRUD003,0.0
Cuba,PWRCRUD004,0.0
Cuba,PWRHFO01,0.0
Cuba,PWRCRUD005,0.0
Cuba,PWRCRUD006,0.0
Cuba,PWRCRUD007,0.0
Cuba,PWRNG01,0.0
Cuba,PWRNG02,0.0
Cuba,PWRFO,0.0
Cuba,PWRDSL,0.0
