REGION,TECHNOLOGY,value
Cuba,PWRCRUD008,30.0
Cuba,PWRNG01,30.0
Cuba,PWRNG02,30.0
Cuba,PWRGHFO2,25.0
Cuba,PWRBIO,30.0
Cuba,PWRWND001,25.0
Cuba,PWRWND002,25.0
Cuba,PWRPV01,25.0
Cuba,PWRPV02,25.0
Cuba,PWRCSP,25.0
Cuba,PWRFO,25.0
Cuba,PWRDSL,25.0
Cuba,PWRHYD01,30.0
Cuba,PWRHYD02,30.0
Cuba,PWRTBATT01,20.0
Cuba,PWRTBATT02,20.0
Cuba,PWRTRANS,50.0
Cuba,PWRDIST,50.0
Cuba,GASLIQUED,30.0
Cuba,EXPORT01,30.0
