REGION,YEAR,value
Cuba,2019,0.6
Cuba,2020,0.6
Cuba,2021,0.6
Cuba,2022,0.6
Cuba,2023,0.6
Cuba,2024,0.6
Cuba,2025,0.6
Cuba,2026,0.6
Cuba,2027,0.6
Cuba,2028,0.6
Cuba,2029,0.6
Cuba,2030,0.6
Cuba,2031,0.6
Cuba,2032,0.6
Cuba,2033,0.6
Cuba,2034,0.6
Cuba,2035,0.6
Cuba,2036,0.6
Cuba,2037,0.6
Cuba,2038,0.6
Cuba,2039,0.6
Cuba,2040,0.6
Cuba,2041,0.6
Cuba,2042,0.6
Cuba,2043,0.6
Cuba,2044,0.6
Cuba,2045,0.6
Cuba,2046,0.6
Cuba,2047,0.6
Cuba,2048,0.6
Cuba,2049,0.6
Cuba,2050,0.6
