REGION,YEAR,value
Cuba,2025,0.24
Cuba,2026,0.24
Cuba,2027,0.24
Cuba,2028,0.24
Cuba,2029,0.24
Cuba,2030,0.24
Cuba,2031,0.26
Cuba,2032,0.28
Cuba,2033,0.3
Cuba,2034,0.32
Cuba,2035,0.34
Cuba,2036,0.36
Cuba,2037,0.38
Cuba,2038,0.4
Cuba,2039,0.42
Cuba,2040,0.44
Cuba,2041,0.46
Cuba,2042,0.48
Cuba,2043,0.5
Cuba,2044,0.52
Cuba,2045,0.54
Cuba,2046,0.56
Cuba,2047,0.58
Cuba,2048,0.6
Cuba,2049,0.62
Cuba,2050,0.64
